Temporada;Estreia;Final;Média geral
1;49;59;40
2;28;45;37
3;37;55;39
4;42;56;45
5;46;57;47
6;45;51;43
7;43;48;41
8;37;46;37
9;37;41;32
10;30;41;31
11;34;30;25
12;34;26;25
13;25;29;24
14;30;24;22
15;25;27;23
16;24;29;24
17;29;29;23
18;31;33;26
19;23;25;20
20;25;34;26
